26. West Garfield Park,,,,,,,,,,,
Total,,"  12,151 ","  9,257 ","  6,990 ","  6,866 ","  5,714 ","  5,464 ","  5,431 ","  5,358 ","  5,312 ","5,335"
"Less than $10,000",,,,"  2,650 ","  1,825 ","  1,488 ","  1,300 ","  1,307 ","  1,281 ","  1,285 ","1,153"
"$10,000 to $14,999",,,,  828 ,  638 ,  420 ,  505 ,  468 ,  550 ,  567 ,552
"$15,000 to $19,999",,,,  863 ,  622 ,  557 ,  583 ,  543 ,  503 ,  565 ,670
"$20,000 to $24,999",,,,  537 ,  522 ,  435 ,  335 ,  366 ,  437 ,  443 ,450
"$25,000 to $29,999",,,,  476 ,  611 ,  336 ,  339 ,  374 ,  294 ,  274 ,316
"$30,000 to $34,999",,,,  309 ,  417 ,  338 ,  388 ,  363 ,  347 ,  309 ,305
"$35,000 to $39,999",,,,  353 ,  381 ,  278 ,  226 ,  204 ,  207 ,  138 ,171
"$40,000 to $44,999",,,,  256 ,  279 ,  300 ,  264 ,  248 ,  233 ,  206 ,197
"$45,000 to $49,999",,,,  199 ,  284 ,  142 ,  180 ,  197 ,  179 ,  167 ,197
"$50,000 to $59,999",,,,  236 ,  355 ,  358 ,  373 ,  360 ,  343 ,  328 ,333
"$60,000 to $74,999",,,,  167 ,  451 ,  409 ,  348 ,  389 ,  348 ,  444 ,414
"$75,000 to $99,999",,,,  85 ,  268 ,  440 ,  415 ,  445 ,  455 ,  375 ,363
"$100,000 to $124,999",,,,  26 ,  93 ,  131 ,  99 ,  58 ,  63 ,  85 ,90
"$125,000 to $149,999",,,,  5 ,  45 ,  73 ,  88 ,  74 ,  74 ,  57 ,70
"$150,000 to $199,999",,,, - ,  6 , - ,  5 ,  22 ,  25 ,  45 ,36
"$200,000 or more",,,,,  69 ,  9 ,  16 ,  13 ,  19 ,  24 ,18
Median household income,West Garfield Park,"$40,045","$30,525","$28,939","$34,148","$26,163","$26,523","$26,354","$24,683","$23,016","$23,023"
,,,,,,,,,,,
27. East Garfield Park,,,,,,,,,,,
Total,,"  14,288 ","  9,895 ","  7,246 ","  6,535 ","  6,896 ","  6,900 ","  6,881 ","  6,924 ","  6,926 ","6,819"
"Less than $10,000",,,,"  3,235 ","  1,706 ","  1,864 ","  1,852 ","  1,862 ","  2,009 ","  1,871 ","1,867"
"$10,000 to $14,999",,,,  815 ,  708 ,  608 ,  694 ,  886 ,  832 ,  747 ,758
"$15,000 to $19,999",,,,  734 ,  520 ,  539 ,  462 ,  506 ,  498 ,  489 ,476
"$20,000 to $24,999",,,,  528 ,  386 ,  427 ,  424 ,  403 ,  415 ,  445 ,495
"$25,000 to $29,999",,,,  528 ,  419 ,  472 ,  457 ,  470 ,  389 ,  347 ,343
"$30,000 to $34,999",,,,  292 ,  449 ,  477 ,  371 ,  270 ,  230 ,  258 ,245
"$35,000 to $39,999",,,,  284 ,  373 ,  346 ,  285 ,  257 ,  268 ,  310 ,232
"$40,000 to $44,999",,,,  230 ,  333 ,  291 ,  332 ,  363 ,  336 ,  400 ,344
"$45,000 to $49,999",,,,  120 ,  362 ,  90 ,  62 ,  141 ,  180 ,  151 ,199
"$50,000 to $59,999",,,,  156 ,  441 ,  410 ,  412 ,  351 ,  323 ,  309 ,297
"$60,000 to $74,999",,,,  210 ,  318 ,  354 ,  404 ,  424 ,  418 ,  394 ,414
"$75,000 to $99,999",,,,  70 ,  324 ,  589 ,  597 ,  539 ,  575 ,  618 ,577
"$100,000 to $124,999",,,,  18 ,  64 ,  204 ,  218 ,  197 ,  215 ,  284 ,314
"$125,000 to $149,999",,,,  17 ,  32 ,  90 ,  104 ,  74 ,  74 ,  104 ,91
"$150,000 to $199,999",,,,  9 ,  34 ,  107 ,  166 ,  96 ,  112 ,  133 ,94
"$200,000 or more",,,,,  66 ,  28 ,  60 ,  42 ,  50 ,  66 ,73
Median household income,,"$31,387","$25,228","$23,152","$35,765","$26,883","$26,580","$22,967","$22,115","$24,450","$22,897"
,,,,,,,,,,,
28. Near West Side,,,,,,,,,,,
Total,,"  21,695 ","  18,630 ","  16,473 ","  18,141 ","  25,665 ","  26,291 ","  26,973 ","  27,652 ","  28,108 ","28,162"
"Less than $10,000",,,,"  8,482 ","  4,876 ","  3,943 ","  4,165 ","  4,116 ","  4,135 ","  4,116 ","3,936"
"$10,000 to $14,999",,,,"  1,280 ","  1,361 ","  1,243 ","  1,196 ","  1,204 ","  1,179 ","  1,262 ","1,324"
"$15,000 to $19,999",,,,"  1,170 ","  1,105 ",  832 ,  930 ,"  1,005 ","  1,020 ","  1,011 ","1,016"
"$20,000 to $24,999",,,,  773 ,  945 ,  875 ,  849 ,  802 ,  943 ,  942 ,949
"$25,000 to $29,999",,,,  793 ,  845 ,  888 ,  820 ,  849 ,  633 ,  608 ,646
"$30,000 to $34,999",,,,  631 ,  751 ,  505 ,  528 ,  517 ,  563 ,  642 ,614
"$35,000 to $39,999",,,,  606 ,  817 ,  628 ,  647 ,  542 ,  543 ,  420 ,444
"$40,000 to $44,999",,,,  397 ,  778 ,  615 ,  673 ,  609 ,  604 ,  568 ,536
"$45,000 to $49,999",,,,  356 ,  523 ,  555 ,  574 ,  700 ,  740 ,  655 ,484
"$50,000 to $59,999",,,,  636 ,"  1,010 ","  1,558 ","  1,653 ","  1,342 ","  1,481 ","  1,448 ","1,241"
"$60,000 to $74,999",,,,  536 ,"  1,280 ","  2,417 ","  2,237 ","  2,472 ","  2,452 ","  2,291 ","2,206"
"$75,000 to $99,999",,,,  378 ,"  1,249 ","  3,160 ","  3,206 ","  3,292 ","  2,955 ","  3,092 ","2,990"
"$100,000 to $124,999",,,,  159 ,  945 ,"  2,474 ","  2,502 ","  2,673 ","  2,695 ","  2,756 ","2,691"
"$125,000 to $149,999",,,,  118 ,  550 ,"  1,689 ","  1,614 ","  1,874 ","  1,968 ","  1,786 ","1,989"
"$150,000 to $199,999",,,,  158 ,  579 ,"  1,984 ","  2,313 ","  2,374 ","  2,699 ","  2,872 ","3,029"
"$200,000 or more",,,,,  527 ,"  2,299 ","  2,384 ","  2,602 ","  3,042 ","  3,639 ","4,067"
Median household income,Near West Side,"$28,361","$19,221","$17,890","$43,699","$71,379","$70,453","$73,056","$74,380","$77,456","$79,669"
,,,,,,,,,,,
29. North Lawndale,,,,,,,,,,,
Total,,"  22,577 ","  17,266 ","  13,905 ","  12,391 ","  10,852 ","  10,811 ","  10,755 ","  10,869 ","  11,154 ","11,295"
"Less than $10,000",,,,"  6,076 ","  4,213 ","  2,708 ","  2,851 ","  2,655 ","  2,656 ","  2,512 ","2,254"
"$10,000 to $14,999",,,,"  1,660 ","  1,232 ","  1,195 ","  1,010 ","  1,106 ","  1,203 ","  1,214 ","1,167"
"$15,000 to $19,999",,,,"  1,375 ","  1,048 ",  989 ,"  1,068 ","  1,046 ","  1,105 ","  1,056 ","1,034"
"$20,000 to $24,999",,,,"  1,187 ",  867 ,  788 ,  777 ,  858 ,  987 ,  993 ,"1,013"
"$25,000 to $29,999",,,,  704 ,  844 ,  697 ,  617 ,  601 ,  600 ,  639 ,659
"$30,000 to $34,999",,,,  749 ,  657 ,  479 ,  667 ,  643 ,  608 ,  534 ,625
"$35,000 to $39,999",,,,  587 ,  659 ,  552 ,  555 ,  452 ,  401 ,  473 ,634
"$40,000 to $44,999",,,,  391 ,  349 ,  450 ,  387 ,  491 ,  495 ,  507 ,425
"$45,000 to $49,999",,,,  283 ,  389 ,  296 ,  369 ,  337 ,  332 ,  405 ,571
"$50,000 to $59,999",,,,  483 ,  548 ,  603 ,  611 ,  549 ,  516 ,  618 ,613
"$60,000 to $74,999",,,,  185 ,  703 ,  792 ,  769 ,  831 ,  799 ,  854 ,810
"$75,000 to $99,999",,,,  166 ,  477 ,  752 ,  599 ,  587 ,  634 ,  727 ,766
"$100,000 to $124,999",,,,  44 ,  205 ,  295 ,  270 ,  372 ,  297 ,  325 ,410
"$125,000 to $149,999",,,, - ,  95 ,  52 ,  110 ,  110 ,  130 ,  145 ,126
"$150,000 to $199,999",,,,  15 ,  72 ,  90 ,  70 ,  76 ,  85 ,  118 ,146
"$200,000 or more",,,,,  33 ,  114 ,  81 ,  41 ,  21 ,  34 ,42
Median household income,North Lawndale,"$37,755","$28,757","$24,088","$27,090","$24,840","$24,127","$24,011","$22,971","$24,433","$26,217"
,,,,,,,,,,,
30. South Lawndale,,,,,,,,,,,
Total,,"  19,057 ","  19,197 ","  18,445 ","  19,265 ","  16,454 ","  16,690 ","  17,447 ","  18,048 ","  17,920 ","17,824"
"Less than $10,000",,,,"  3,635 ","  2,649 ","  1,355 ","  1,517 ","  1,637 ","  1,772 ","  1,735 ","1,535"
"$10,000 to $14,999",,,,"  1,964 ","  1,586 ","  1,472 ","  1,495 ","  1,682 ","  1,702 ","  1,632 ","1,422"
